Food,Serving,Serving
Applesauce,100g,62 cal
Canned Apricots,100g,48 cal
Canned Blackberries,100g,92 cal
Canned Blueberries,100g,88 cal
Canned Cherries,100g,54 cal
Canned Cranberries,100g,178 cal
Canned Crushed Pineapple,100g,53 cal
Canned Figs,100g,107 cal
Canned Fruit Cocktail,100g,81 cal
Canned Fruit Salad,100g,50 cal
Canned Gooseberries,100g,73 cal
Canned Grapefruit,100g,37 cal
Canned Grapes,100g,76 cal
Canned Mandarin Oranges,100g,71 cal
Canned Mango,100g,65 cal
Canned Mangosteen,100g,73 cal
Canned Mixed Fruit,100g,71 cal
Canned Morello Cherries,100g,81 cal
Canned Oranges,100g,62 cal
Canned Peaches,100g,54 cal
Canned Pears,100g,35 cal
Canned Pineapple,100g,60 cal
Canned Plums,100g,58 cal
Canned Raspberries,100g,91 cal
Canned Sliced Pineapple,100g,53 cal
Canned Sour Cherries,100g,114 cal
Canned Strawberries,100g,92 cal
Canned Tangerines,100g,61 cal
Dried Fruit,100g,243 cal
